NAME,HT,WT,CLASS,HOMETOWN,STATE,SCHOOL,GPA,CRIMES,INJURIES,SCHOOLID,MAJOR
Keiwan Jones,74,280,JR,Ocala,FL,Purdue,2.7,0,3,896464765,Criminal Justice
Bearooz Yacoobi,77,300,JR,Dearborn,MI,Purdue,3.2,1,1,603343506,Theater
Bryce Brown,73,280,FR,Evansville,IN,Purdue,3.71,0,1,143542387,Chemical Engineering
Tanner Hawthorne,78,290,FR,Glendale,AZ,Purdue,2.17,0,13,555628372,Music
Kirk Barron,74,305,JR,Mishawaka,IN,Purdue,2.59,1,14,676329489,Economics
Mike Zeigler,76,260,JR,Springfield,IL,Purdue,3.72,0,8,776668969,Animal Science
Derrick Barnes,73,250,FR,Covington,KY,Purdue,1.76,0,13,837222747,Business
Michael Mendez,76,295,SO,Los Fresnos,TX,Purdue,3.51,0,2,14211545,Sociology
Viktor Beach,76,310,FR,Fort Myers,FL,Purdue,3,0,1,486665423,Communication
Semisi Fakasiieiki,75,255,FR,Compton,CA,Purdue,2.3,0,13,788654078,Biology
Ryan Flaherty,75,280,FR,New Carlisle,IN,Purdue,3.65,0,1,883996635,Exercise Science
Eric Swingler,78,305,JR,Munster,IN,Purdue,3.81,0,0,650079644,Communication
Eric Ferguson,73,295,FR,Noblesville,IN,Purdue,3.65,1,0,309372957,Sports Management
Marc Roland,75,275,FR,Indianapolis,IN,Purdue,4,0,2,260383961,Dance
Alex Criddle,75,310,SO,Broken Arrow,OK,Purdue,2.85,0,5,189885217,Business
Peyton Truitt,77,285,SO,West Lafayette,IN,Purdue,4,0,1,627923125,Economics
Dave Steinmetz,80,310,SR,Grafton,MA,Purdue,3.41,0,0,162241715,Music
Sam Loebig,75,315,FR,Bethesda,MD,Purdue,3.74,0,2,64606373,Labor Studies
Jalen Jackson,74,265,FR,Powder Springs,GA,Purdue,3.67,1,3,213268986,Exercise Science
Ethan Smart,78,310,JR,Southaven,MS,Purdue,4,0,3,568128472,Economics
Graham Keller,76,270,FR,Noblesville,IN,Purdue,2.95,0,2,680313493,Electrical Engineering
Shane Evans,76,310,JR,Crystal Lake,IL,Purdue,3.46,0,1,192424674,Psychology
Mark Stickford,77,265,FR,Carmel,IN,Purdue,3.09,0,2,6526892,Economics
D.J. Washington,76,285,FR,Louisville,KY,Purdue,3.08,0,3,271818743,Chemical Engineering
Grant Hermanns,79,295,FR,Albuquerque,NM,Purdue,2.85,0,0,680215759,Economics
Matt McCann,78,315,SO,Fishers,IN,Purdue,2.62,0,1,638761320,Sports Management
Jarrett Burgess,75,220,JR,Miami,FL,Purdue,3.42,0,4,966427387,ITI
Darius Pittman,75,250,FR,Gulfport,MS,Purdue,2.6,1,4,585617544,Communication
Wade Buckman,78,235,FR,Holland,MI,Purdue,2.3,1,6,921516988,Animal Science
Malcolm Dotson,74,200,SO,Indianapolis,IN,Purdue,3.68,0,5,632248760,Labor Studies
Jess Trussell,78,245,SO,Arlington,TX,Purdue,2.29,0,5,152216747,Economics
J.D. Dellinger,74,195,SO,Charlotte,NC,Purdue,3.16,1,0,252317339,Public Policy
Noah Ellison,73,190,FR,Louisville,KY,Purdue,3.01,0,6,507627523,Sports Management
Ryan James,76,200,FR,Chicago,IL,Purdue,3.17,0,7,289762403,Nutrition
Cole Herdman,76,240,JR,Leesburg,VA,Purdue,3.29,0,7,963296869,Exercise Science
Brycen Hopkins,77,240,SO,Nashville,TN,Purdue,3.28,0,10,60864637,Sports Management
Chazmyn Turner,77,260,SO,Mooresville,NC,Purdue,3.73,0,9,681356433,English 
Giovanni Reviere,77,260,FR,Chattanooga,TN,Purdue,2.64,1,10,908939577,Labor Studies
Allen Daniels,74,305,FR,Dacula,GA,Purdue,2.63,0,2,20112122,Communication
Ray Ellis,76,305,JR,San Jose,CA,Purdue,1.94,0,8,934988876,Electrical Engineering
Jake Herr,77,230,SO,Carmel,IN,Purdue,3.66,0,0,158711082,Economics
Brooks Royal,74,170,FR,Fitzgerald,GA,Purdue,3.14,0,0,282429940,Exercise Science
Kai Higgins,76,240,SO,Pomona,CA,Purdue,3.15,1,8,920837673,Sports Management
Christian Campbell,73,194,SR,Phenix City,AL,Penn State,2.66,0,2,200049586,Industrial Engineering
KJ Hamler,69,172,FR,Pontiac,MI,Penn State,2.24,5,5,659418746,Computer Science
Marcus Allen,74,207,SR,Upper Marlboro,MD,Penn State,2.09,1,5,872812943,Communication
Tommy Stevens,77,228,JR,Indianapolis,IN,Penn State,2.01,4,3,109182063,Electrical Engineering
Donovan Johnson,69,180,FR,Detroit,MI,Penn State,2.01,0,3,713089178,Public Policy
DeAndre Thompkins,71,187,SR,Hubert,NC,Penn State,1.78,0,5,271805565,Geography
Nick Scott,71,199,SR,Fairfax,VA,Penn State,2.11,0,5,848986907,Nutrition
Tariq Castro-Fields,73,185,FR,Upper Marlboro,MD,Penn State,2.19,1,1,2693003,Public Policy
DaeSean Hamilton,73,206,SR,Fredericksburg,VA,Penn State,2.02,1,6,507173192,Psychology
Cam Brown,77,227,SO,Burtonsville,MD,Penn State,1.33,2,12,853448475,Political Science
Andre Robinson,69,223,JR,Mechanicsburg,PA,Penn State,1.21,0,11,230359194,History
Koa Farmer,73,237,SR,Lake View Terrace,CA,Penn State,1.46,0,10,407158199,Creative Writing
Jake Zembiec,75,219,SO,Rochester,NY,Penn State,2.4,0,1,509283325,Labor Studies
Mark Allen,66,180,SR,Hyattsville,MD,Penn State,1,4,11,629860266,Creative Writing
Trace McSorley,73,195,SR,Ashburn,VA,Penn State,2.1,0,1,941416533,Nutrition
Jarvis Miller,74,222,JR,Suffield,CT,Penn State,1.5,4,10,116758227,History
Brandon Polk,69,175,JR,Ashburn,VA,Penn State,1.8,1,7,669586172,Sports Management
Irvin Charles,76,217,JR,Sicklerville,NJ,Penn State,2.02,0,6,7655529,Animal Science
Desi Davis,71,181,SR,Ardmore,PA,Penn State,2.61,1,2,309489352,Political Science
Mac Hippenhammer,71,178,FR,Fort Wayne,IN,Penn State,2.55,2,3,177047664,History
Saeed Blacknall,75,217,SR,Manalapan,NJ,Penn State,1.57,2,4,3359437,Exercise Science
Ellis Brooks,73,235,FR,Mechanicsville,VA,Penn State,1.19,3,13,951967547,Animal Science
Sean Clifford,74,210,FR,Cincinnati,OH,Penn State,1.91,1,4,824754533,Communication
Zech McPhearson,71,182,SO,Columbia,MD,Penn State,2.61,2,1,121301625,Criminal Justice
Grant Haley,69,190,SR,Atlanta,GA,Penn State,2.3,2,2,370439815,Chemical Engineering
Michael Shuster,74,209,SO,Camp Hill,PA,Penn State,2.14,0,1,168321526,Sports Management
Billy Fessler,71,181,SR,Erie,PA,Penn State,1.99,0,1,864339125,Industrial Engineering
John Petrishen,73,211,JR,Lower Burrell,PA,Penn State,2.02,0,2,174672393,Creative Writing
Garrett Taylor,73,197,JR,Richmond,VA,Penn State,2.25,0,2,202991793,Mechanical Engineering
Jonathan Holland,76,248,JR,Brandywine,MD,Penn State,1.36,0,5,601712082,Sociology
Shaka Toney,75,233,SO,Philadelphia,PA,Penn State,1.77,1,5,708714054,Computer Science
Torrence Brown,75,257,SR,Tuscaloosa,AL,Penn State,1.13,0,9,729521880,Labor Studies
Jabari Butler,71,181,JR,Potomac,MD,Penn State,1.98,2,3,879007491,Sports Management
Johnathan Thomas,71,216,SR,Peabody,MA,Penn State,1.28,0,8,45177678,Economics
Amani Oruwariye,73,209,SR,Tampa,FL,Penn State,2.46,1,5,167332850,Geography
Ayron Monroe,71,207,JR,Largo,MD,Penn State,1.76,0,4,847221301,Sports Management
DJ Brown,70,183,FR,College Park,GA,Penn State,1.48,0,4,893071469,Nutrition
Miles Sanders,71,215,SO,Pittsburgh,PA,Penn State,1.81,3,8,207042042,English 
Brelin Faison-Walden,73,212,FR,Greensboro,NC,Penn State,1.75,3,10,663333138,Exercise Science
Saquon Barkley,71,230,JR,Coplay,PA,Penn State,1.21,3,10,434256191,Communication
Jonathan Sutherland,71,200,FR,Ottawa,ON,Penn State,1.74,0,5,281816366,Communication
Troy Apke,73,198,SR,Mt. Lebanon,PA,Penn State,2.24,1,6,598938265,Labor Studies
John Reid,70,187,JR,Mount Laurel,NJ,Penn State,2.38,1,5,849766142,Public Policy
Kevin Givens,73,287,JR,Altoona,PA,Penn State,1.37,1,8,503404395,Sports Management
Christopher Welde,67,167,JR,Newtown,PA,Penn State,2.06,2,7,51036652,Economics
Journey Brown,71,200,FR,Meadville,PA,Penn State,1.34,0,8,442125725,ITI
Mitchell Vallone,69,201,SR,Johnsonburg,PA,Penn State,1.97,0,8,983246609,Labor Studies
Jake Cooper,73,234,JR,Doylestown,PA,Penn State,1,2,13,482295737,Labor Studies
Shane Simmons,75,250,SO,Laurel,MD,Penn State,1.22,3,8,547542959,Exercise Science
Justin Neff,73,187,FR,Mill Hall,PA,Penn State,1.6,3,8,521462539,Exercise Science
Jan Johnson,74,234,JR,Mohnton,PA,Penn State,1.32,3,13,779081978,Chemical Engineering
Drew Hartlaub,71,180,FR,Hanover,PA,Penn State,2.82,3,4,330063000,Exercise Science
Lamont Wade,69,196,FR,Clairton,PA,Penn State,2.4,2,1,272863227,Criminal Justice
Frank Di Leo,69,222,JR,Elmhurst,IL,Penn State,1.03,0,13,641859436,Finance
Josh McPhearson,70,197,SR,Columbia,MD,Penn State,1.6,1,10,201603376,Communication
Jason Cabinda,73,234,SR,Flemington,NJ,Penn State,1,4,14,553968744,Communication
Nick Eury,69,207,SO,Shavertown,PA,Penn State,1.34,0,8,778530039,Theater
Joe Arcangelo,76,252,SO,Clarks Summit,PA,Penn State,1.59,1,7,709418787,Sociology
Parker Cothren,76,304,SR,Huntsville,AL,Penn State,1.53,2,8,903419280,Labor Studies
Ellison Jordan,73,293,SO,Upper Marlboro,MD,Penn State,2.05,0,6,268628244,Economics
Manny Bowen,73,226,JR,Barnegat,NJ,Penn State,1.29,0,14,879058508,Economics
Brailyn Franklin,74,204,FR,Arlington,TX,Penn State,1.82,1,10,960844498,Business
Joe DuMond,71,241,SO,Philadelphia,PA,Penn State,1,0,11,396623005,Exercise Science
Colin Castagna,76,257,JR,Barrington,IL,Penn State,1.39,4,6,241825420,Exercise Science
Will Blair,71,219,SO,Lancaster,PA,Penn State,1.66,2,5,109087238,Industrial Engineering
Brandon Smith,73,228,SR,Winfield,PA,Penn State,1.63,0,11,92315254,Sports Management
Shareef Miller,77,257,JR,Philadelphia,PA,Penn State,1,0,10,73812337,Biology
Daniel Joseph,75,250,SO,Brampton,ON,Penn State,1.64,1,6,140498501,Economics
Max Chizmar,74,221,FR,Mars,PA,Penn State,1.16,2,14,98084587,Labor Studies
Alex Gellerstedt,78,304,SO,Dublin,OH,Penn State,1.98,0,3,622438441,Gender Studies
Jason Vranic,73,222,SR,Wheatfield,NY,Penn State,1.22,0,13,109632810,Criminal Justice
Ryan Bates,76,312,JR,Warrington,PA,Penn State,1.84,3,2,209727607,Economics
Curtis Cothran,77,301,SR,Newtown,PA,Penn State,2.01,0,7,924773013,Mechanical Engineering
Fred Hansard,75,310,FR,Burlington,NJ,Penn State,2.96,0,3,291058785,History
Robert Windsor,76,303,JR,Fond Du Lac,WI,Penn State,2.44,0,6,177398756,Communication
Antonio Shelton,74,302,SO,Westerville,OH,Penn State,1.85,2,8,46022899,Nutrition
Tyrell Chavis,75,308,SR,Richmond,VA,Penn State,1.95,1,5,8544286,Computer Engineering
Evan Presta,75,266,FR,Erie,PA,Penn State,1.33,1,8,840735442,Exercise Science
Andrew Nelson,78,305,SR,Hershey,PA,Penn State,2.23,1,3,596693368,Exercise Science
C.J. Thorpe,75,329,FR,Glenshaw,PA,Penn State,2.02,2,3,354113405,Sociology
Michal Menet,76,301,SO,Birdsboro,PA,Penn State,2.73,1,0,853261480,Business
Zach Simpson,75,301,JR,Hollidaysburg,PA,Penn State,2.31,0,1,29888803,Economics
Crae McCracken,74,280,FR,Williamsport,PA,Penn State,2.42,2,0,146324018,Communication
Connor McGovern,77,312,SO,Larksville,PA,Penn State,2.6,0,0,400775702,Communication
Hunter Kelly,74,300,SO,Langhorne,PA,Penn State,2.32,2,1,193218674,Industrial Engineering
Brendan Mahon,76,318,SR,Randolph,NJ,Penn State,3.05,2,0,453834998,Political Science
Will Fries,78,305,SO,Cranford,NJ,Penn State,1.75,2,4,604435221,History
Robbie Martin,76,284,FR,Sparta,NJ,Penn State,2.48,0,0,224665576,Criminology
Mike Miranda,75,303,FR,Stow,OH,Penn State,1.78,2,2,219081675,Exercise Science
Steven Gonzalez,76,341,JR,Union City,NJ,Penn State,2.23,3,0,794627840,ITI
Des Holmes,77,319,FR,Norristown,PA,Penn State,2.93,3,1,665021200,Communication
Sterling Jenkins,80,336,JR,Pittsburgh,PA,Penn State,2.68,2,0,73849352,Biology
Chasz Wright,79,358,SR,Woodbridge,VA,Penn State,2.06,0,0,952342606,Labor Studies
Charlie Shuman,80,316,SR,Pittsford,NY,Penn State,2.48,2,1,163031764,Communication
Danny Dalton,76,234,SO,Marshfield,MA,Penn State,1.95,1,8,774701814,Sports Management
Justin Weller,73,187,FR,Sinking Spring,PA,Penn State,2.3,0,7,533392263,Electrical Engineering
Cam Sullivan-Brown,73,187,FR,Bowie,MD,Penn State,1.44,0,4,703888241,Labor Studies
Tyler Shoop,71,185,JR,Nashville,TN,Penn State,2.05,4,6,169249832,Labor Studies
Nick Bowers,76,268,JR,Kittanning,PA,Penn State,2.53,0,4,548979424,Labor Studies
Alex Hoenstine,73,178,FR,East Freedom,PA,Penn State,1.35,0,9,457894333,Industrial Engineering
Juwan Johnson,76,226,JR,Glassboro,NJ,Penn State,1.82,1,5,760283859,Nutrition
Isaac Lutz,71,181,SO,Reading,PA,Penn State,2.04,0,5,393874365,Dance
Cody Hodgens,67,173,SR,Wesley Chapel,FL,Penn State,1.76,2,7,239680689,Sports Management
Dae'Lun Darien,76,210,SO,Baltimore,MD,Penn State,2.19,0,4,109214357,Economics
Mike Gesicki,78,250,SR,Manahawkin,NJ,Penn State,1.93,0,6,274908959,Communication
Colton Maxwell,73,190,SO,Northampton,PA,Penn State,1.57,4,8,317392116,Sports Management
Tom Pancoast,75,242,SR,West Chester,PA,Penn State,1.84,1,4,368014764,Creative Writing
Damion Barber,75,245,FR,Harrisburg,PA,Penn State,2.42,4,6,726034652,Electrical Engineering
Alex Barbir,69,193,SO,Cumming,GA,Penn State,2.43,0,0,827361522,Sports Management
Ryan Monk,73,282,JR,Dallas,PA,Penn State,1.49,2,5,851549310,Exercise Science
Chris Stoll,74,251,FR,Westerville,OH,Penn State,2.67,1,1,876779852,Public Policy
Corey Bolds,75,285,FR,Paterson,NJ,Penn State,1.86,1,6,35033752,Computer Science
Daniel Pasquariello,73,201,SR,--,--,Penn State,2.9,0,0,695358044,Computer Engineering
Blake Gillikin,74,195,SO,Smyrna,GA,Penn State,2.06,1,0,883021298,Computer Engineering
Joe Calcagno,73,253,FR,Elmhurst,IL,Penn State,2.04,0,2,662259112,Sociology
Tyler Davis,71,183,SR,Saint Charles,IL,Penn State,2.57,1,0,260231108,Sports Management
Immanuel Iyke,74,298,JR,Hackettstown,NJ,Penn State,1.91,2,5,532113375,History
Kyle Vasey,74,234,SR,Hawley,PA,Penn State,2.19,1,2,905384317,Exercise Science
Ryan Buchholz,78,275,JR,Malvern,PA,Penn State,1.8,3,8,218175016,Labor Studies
Carson Landis,74,198,FR,Macungie,PA,Penn State,2.86,1,0,52582974,Communication
Mike Curry,73,230,JR,Phillipsburg,NJ,Penn State,2.46,0,2,301440294,English 
Dan Vasey,76,250,FR,Lackawaxen,PA,Penn State,2.61,0,3,554235259,Labor Studies
Nick DeAngelis,68,160,JR,Ramsey,NJ,Penn State,2.27,0,0,301861665,Creative Writing
Yetur Gross-Matos,77,248,FR,Spotsylvania,VA,Penn State,1.52,2,6,418013573,Communication
Patrick Johnson,71,204,SO,Washington,DC,Wisconsin,3.61,0,4,948837720,Chemical Engineering
Kendric Pryor,71,185,FR,Hazel Crest,IL,Wisconsin,3.4,0,6,346188393,Communication
A.J. Taylor,71,202,SO,Kansas City,MO,Wisconsin,3.68,0,2,85168092,Economics
Garret Dooley,75,246,SR,Rochester,IL,Wisconsin,3.44,0,7,997690165,Economics
Chris James,70,219,JR,Chicago,IL,Wisconsin,2.57,0,11,307330943,Labor Studies
Danny Davis III,73,186,FR,Springfield,OH,Wisconsin,2.45,1,4,410783736,History
Bradrick Shaw,73,220,SO,Birmingham,AL,Wisconsin,1.64,0,11,480894642,Exercise Science
Joe Ferguson,73,195,SR,Madison,WI,Wisconsin,4,1,5,199737379,Criminology
Rachid Ibrahim,73,195,SR,Rockville,MD,Wisconsin,3.05,0,11,149236437,Economics
Jack Coan,75,202,FR,Sayville,NY,Wisconsin,2.21,0,4,293936409,Finance
Seth Currens,75,213,FR,Pickerington,OH,Wisconsin,2.38,0,6,455256364,Theater
Nick Nelson,71,208,JR,Glenarden,MD,Wisconsin,2.51,0,3,181354976,History
Jazz Peavy,73,189,SR,Kenosha,WI,Wisconsin,2.3,0,6,28876107,Geography
Alex Hornibrook,76,215,SO,West Chester,PA,Wisconsin,2.45,1,2,695854906,Mechanical Engineering
Natrell Jamerson,73,198,SR,Ocala,FL,Wisconsin,3.44,0,4,655103765,Labor Studies
Evan Bondoc,73,201,JR,Madison,WI,Wisconsin,3.16,0,4,596494564,Mechanical Engineering
D'Cota Dixon,70,204,SR,Oak Hill,FL,Wisconsin,3.17,3,6,682037922,Biology
Anthony Lotti,73,191,SO,Flowery Branch,GA,Wisconsin,2.99,1,0,635528509,Labor Studies
Danny Vanden Boom,77,197,FR,Kimberly,WI,Wisconsin,2.95,0,4,563179901,Exercise Science
Jack Dunn,67,180,FR,Madison,WI,Wisconsin,3.13,0,5,242879737,Exercise Science
George Rushing,73,200,SR,Miramar,FL,Wisconsin,2.75,0,3,894416118,Gender Studies
Andrew Van Ginkel,76,234,JR,Rock Valley,IA,Wisconsin,2.52,2,12,975326285,Public Policy
Arrington Farrar,74,237,JR,Atlanta,GA,Wisconsin,2.1,0,13,264461477,Chemical Engineering
Titus Booker,71,195,SO,Round Lake Beach,IL,Wisconsin,3.29,2,5,318715094,Chemical Engineering
Kare Lyles,73,212,FR,Scottsdale,AZ,Wisconsin,3.2,0,5,244450376,Communication
Faion Hicks,70,186,FR,Miami,FL,Wisconsin,3.46,0,2,422424288,Economics
Austin Ramesh,73,255,SR,Land O Lakes,WI,Wisconsin,2.16,0,14,858558444,Sports Management
Mark Saari,73,219,JR,Montreal,WI,Wisconsin,2.55,0,11,934020843,Computer Engineering
Caesar Williams,73,183,FR,Grand Prairie,TX,Wisconsin,2.92,0,4,384256924,Exercise Science
Cade Green,71,185,FR,Austin,TX,Wisconsin,2.65,0,5,168733841,Economics
Mason Stokke,74,226,FR,Menomonie,WI,Wisconsin,2.77,1,13,826660537,Communication
Jonathan Taylor,71,214,FR,Salem,NJ,Wisconsin,1.55,0,10,953694492,Computer Engineering
Madison Cone,69,178,FR,Kernersville,NC,Wisconsin,2.8,1,2,256455025,Computer Engineering
Adam Krumholz,73,201,FR,Stoughton,WI,Wisconsin,3.73,0,4,860211614,Labor Studies
Scott Nelson,74,194,FR,Detroit,MI,Wisconsin,2.83,0,6,382174640,ITI
Derrick Tindal,71,181,SR,Fort Lauderdale,FL,Wisconsin,2.93,0,1,827945231,Economics
Eric Burrell,73,187,FR,Severn,MD,Wisconsin,3.59,0,5,425077819,Labor Studies
Chris Clementi,71,181,JR,Wausau,WI,Wisconsin,2.46,1,5,672371753,Electrical Engineering
Rafael Gaglianone,71,232,JR,--,--,Wisconsin,3.25,1,0,424497666,ITI
Cristian Volpentesta,69,191,FR,Highland Park,IL,Wisconsin,3.43,0,3,812837599,Labor Studies
Taiwan Deal,73,219,JR,Capitol Heights,MD,Wisconsin,2.43,1,4,824424096,Theater
Blake Mielke,74,200,SO,Hartland,WI,Wisconsin,3.09,1,6,20825666,Communication
Dontye Carriere-Williams,70,192,FR,Miami,FL,Wisconsin,4,0,0,190457688,Music
Aaron Maternowski,73,235,FR,Slinger,WI,Wisconsin,3.01,0,13,480827400,Dance
Coy Wanner,75,247,FR,Green Bay,WI,Wisconsin,2.26,3,9,941086670,Gender Studies
Lubern Figaro,73,188,SR,Everett,MA,Wisconsin,3.21,0,0,159152370,Electrical Engineering
Tyler Mais,73,202,FR,Waunakee,WI,Wisconsin,2.19,0,7,590765023,Mechanical Engineering
Jake Collinsworth,73,225,FR,Merrill,WI,Wisconsin,2.41,2,13,958077995,Labor Studies
Leon Jacobs,74,245,SR,Santa Clarita,CA,Wisconsin,2.37,0,11,107631892,Industrial Engineering
Sam Brodner,70,216,FR,Glen Ellyn,IL,Wisconsin,2.48,0,10,898472533,Nutrition
Chikwe Obasih,75,275,SR,Brookfield,WI,Wisconsin,2.84,0,6,140605135,Mechanical Engineering
Hunter Johnson,73,209,FR,Darlington,WI,Wisconsin,2.81,0,8,964017701,Labor Studies
Kobe Knaak,69,180,FR,Franklin,WI,Wisconsin,3,0,3,263928962,English 
Ethan Cesarz,73,237,FR,Delavan,WI,Wisconsin,1.78,0,13,679571215,Labor Studies
Garrett Groshek,71,216,FR,Amherst Junction,WI,Wisconsin,2.86,0,7,129644874,Labor Studies
Sam DeLany,70,162,FR,Delafield,WI,Wisconsin,2.53,0,7,646156637,Communication
P.J. Rosowski,75,217,JR,Stoughton,WI,Wisconsin,2.42,0,0,30937090,Economics
Zach Hintze,73,182,SO,Fond Du Lac,WI,Wisconsin,3.38,0,0,914010312,Geography
Jake Whalen,73,246,SO,Wausau,WI,Wisconsin,1.8,0,11,931441613,Criminology
Noah Burks,74,230,FR,Carmel,IN,Wisconsin,1.38,1,12,84198006,Psychology
Paul Jackson,75,214,JR,Miami Gardens,FL,Wisconsin,2.81,0,8,784257020,Communication
Ryan Connelly,75,228,JR,Eden Prairie,MN,Wisconsin,1.83,0,12,465055088,Sports Management
Peter Roy,73,195,JR,Muskego,WI,Wisconsin,2.7,0,7,804081567,Labor Studies
Alec Ingold,74,246,JR,Green Bay,WI,Wisconsin,3.87,0,12,459611074,Communication
Hegeman Tiedt,76,237,FR,Burlington,WI,Wisconsin,2.67,0,10,749380510,Sociology
Gabe Lloyd,76,247,FR,Green Bay,WI,Wisconsin,3.46,1,3,169258375,Criminal Justice
Nick Thomas,74,225,SO,Bradenton,FL,Wisconsin,2.88,0,9,788330615,Exercise Science
Griffin Grady,75,225,SO,Dublin,OH,Wisconsin,2.13,1,12,96602277,Exercise Science
Jack Cichy,74,234,SR,Somerset,WI,Wisconsin,2.63,0,12,401117025,Computer Engineering
Kyle Penniston,76,244,SO,Orange,CA,Wisconsin,2.09,0,6,214518162,Communication
Izayah Green-May,78,217,FR,Bolingbrook,IL,Wisconsin,3.74,0,13,809855171,Sports Management
Adam Bay,73,224,FR,Mesa,AZ,Wisconsin,3.01,0,2,803301535,English 
Jacob Maxwell,78,320,JR,Greendale,WI,Wisconsin,3.58,0,2,504981714,Exercise Science
David Pfaff,74,275,SO,Mequon,WI,Wisconsin,3.13,0,7,989363699,English 
T.J. Edwards,73,244,JR,Lake Villa,IL,Wisconsin,3.03,0,9,561474611,Communication
Chris Orr,73,223,JR,Desoto,TX,Wisconsin,2.05,0,12,827969456,Political Science
Christian Bell,76,249,FR,Birmingham,AL,Wisconsin,1.99,0,11,681412283,Sociology
Zack Baun,75,226,SO,Brown Deer,WI,Wisconsin,2.24,0,12,384557292,Chemical Engineering
Michael Balistreri,76,273,FR,Grafton,WI,Wisconsin,3.81,0,3,375495605,Finance
Alec James,75,272,SR,Brookfield,WI,Wisconsin,2.88,0,5,845005016,Finance
Mike Maskalunas,75,234,FR,Long Grove,IL,Wisconsin,3.54,0,8,802708719,Communication
Tyler Johnson,75,243,SO,Menasha,WI,Wisconsin,2.21,0,11,505026456,Labor Studies
Logan Bruss,77,281,FR,Appleton,WI,Wisconsin,3.93,0,3,853938136,Communication
Tyler Biadasz,75,316,FR,Amherst,WI,Wisconsin,3.57,0,3,420968233,Chemical Engineering
Patrick Kasl,77,325,FR,Wyoming,MN,Wisconsin,2.54,0,2,864630920,Communication
Michael Deiter,78,328,JR,Curtice,OH,Wisconsin,3.14,0,1,73930059,Creative Writing
Brett Connors,78,304,JR,New Berlin,WI,Wisconsin,3.35,0,2,339581148,Chemical Engineering
Tyler Beach,78,290,FR,Grafton,WI,Wisconsin,2.36,0,1,244176644,History
Beau Benzschawel,78,317,JR,Grafton,WI,Wisconsin,3.31,1,4,808181367,History
Jon Dietzen,78,336,SO,Black Creek,WI,Wisconsin,3.81,4,3,946162959,Gender Studies
David Moorman,77,314,SO,Northville,MI,Wisconsin,3.13,3,2,623052400,Economics
Aaron Vopal,78,298,FR,De Pere,WI,Wisconsin,3.05,2,8,379709294,Sports Management
Josh Seltzner,76,313,FR,Columbus,WI,Wisconsin,2.91,0,1,406796535,Exercise Science
Cole Van Lanen,77,307,FR,Green Bay,WI,Wisconsin,4,0,2,559696801,Animal Science
Alex Fenton,76,299,FR,Menomonie,WI,Wisconsin,3.14,2,1,773133875,Exercise Science
Gunnar Roberge,76,304,SO,Seymour,WI,Wisconsin,1.98,1,10,180253669,Industrial Engineering
Micah Kapoi,75,326,JR,Kapolei,HI,Wisconsin,3.19,1,1,540476842,Sports Management
Kayden Lyles,75,320,FR,Madison,WI,Wisconsin,3.6,0,2,596376160,Sports Management
Blake Smithback,74,292,FR,Waunakee,WI,Wisconsin,3.83,1,0,621804687,Political Science
Jason Erdmann,78,337,SO,Richfield,WI,Wisconsin,2.81,0,1,82824452,Sports Management
David Edwards,79,315,SO,Downers Grove,IL,Wisconsin,3.89,0,3,764509954,Economics
Troy Fumagalli,78,248,SR,Aurora,IL,Wisconsin,2.37,0,6,294714093,Economics
Emmet Perry,74,184,FR,Grand Prairie,TX,Wisconsin,2.92,0,5,497067743,Biology
Jake Ferguson,77,230,FR,Madison,WI,Wisconsin,2.9,1,3,841510231,History
Zander Neuville,77,258,JR,Waupaca,WI,Wisconsin,2.59,0,8,441472215,Gender Studies
Luke Benzschawel,78,261,FR,Grafton,WI,Wisconsin,3,0,6,349025820,Sociology
Quintez Cephus,73,205,SO,Macon,GA,Wisconsin,2.99,0,8,507978184,Theater
Deron Harrell,74,181,FR,Denver,CO,Wisconsin,2.39,0,5,479069805,Sports Management
Connor Allen,73,169,SO,New Berlin,WI,Wisconsin,4,1,0,542268638,Sociology
Josh Bernhagen,74,236,FR,Madison,WI,Wisconsin,3.81,1,1,676974854,Geography
Garrett Rand,74,272,SO,Chandler,AZ,Wisconsin,2.34,0,10,456947068,Economics
Matt Henningsen,75,275,FR,Menomonee Falls,WI,Wisconsin,2.97,0,5,824200682,Labor Studies
Conor Sheehy,76,293,SR,Milwaukee,WI,Wisconsin,2.77,1,7,849203917,Sociology
Keldric Preston,76,257,FR,Tampa,FL,Wisconsin,2.31,0,7,411837279,Nutrition
Billy Hirschfeld,78,305,JR,Okauchee,WI,Wisconsin,3.08,1,6,966595074,Animal Science
Isaiahh Loudermilk,79,306,FR,Howard,KS,Wisconsin,2.33,0,8,309467913,Political Science
Kraig Howe,75,278,SO,Dayton,OH,Wisconsin,2.86,0,11,444213961,Public Policy
Collin Larsh,70,182,FR,Marshall,WI,Wisconsin,4,0,0,560432032,Biology
Olive Sagapolu,74,346,JR,--,--,Wisconsin,2.09,0,9,259929897,Criminology
Lamar Jackson,75,210,SO,Elk Grove,CA,Nebraska,2.94,0,4,658170765,Music
Tyjon Lindsey,69,160,FR,Corona,CA,Nebraska,3.19,0,4,572166826,Economics
Tony Butler,74,210,FR,Lakewood,OH,Nebraska,3.5,0,3,793990197,Sports Management
Zack Darlington,74,195,JR,Apopka,FL,Nebraska,2.94,0,3,448047965,Criminology
